what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319726291491
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1319726323489
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319726337591
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319726338563
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.properties",1319726338574
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319726345663
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319726357752
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.properties",1319726357762
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1319726359309
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319726361169
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319726370964
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1319726370984
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319726375892
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319726398986
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1319726398998
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1319726400385
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319726402876
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319726405468
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1319726409139
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1319726409215
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1319726411236
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1319726411237
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319726414172
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319726414260
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319726428804
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319726428948
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1319726443001
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1319726443215
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1319726443995
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1319726462522
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1319726464533
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1319726482155
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1319726488557
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1319726502314
